# reactions: 3
Time	S	I	R	N	Fired Reaction
2.9578276119862066	37.0	26.0	37.0	100.0	 3
2.967241472682481	36.0	27.0	37.0	100.0	 1
2.9851448222187704	35.0	28.0	37.0	100.0	 1
2.9986514982213817	35.0	27.0	38.0	100.0	 2
3.011053181332342	36.0	27.0	37.0	100.0	 3
3.04362942320165	37.0	27.0	36.0	100.0	 3
3.0600460376485166	38.0	27.0	35.0	100.0	 3
3.076409175218684	37.0	28.0	35.0	100.0	 1
3.101652638189122	37.0	27.0	36.0	100.0	 2
3.124539972608791	38.0	27.0	35.0	100.0	 3
3.149630131671943	38.0	26.0	36.0	100.0	 2
3.1601676038959323	37.0	27.0	36.0	100.0	 1
3.1617834665337887	38.0	27.0	35.0	100.0	 3
3.1656668397501946	39.0	27.0	34.0	100.0	 3
3.168579099709484	39.0	26.0	35.0	100.0	 2
3.1749621271538597	40.0	26.0	34.0	100.0	 3
3.176653882642734	40.0	25.0	35.0	100.0	 2
3.1912195014025597	40.0	24.0	36.0	100.0	 2
3.1979870446707386	40.0	23.0	37.0	100.0	 2
3.22396614458752	39.0	24.0	37.0	100.0	 1
3.2242407546961203	39.0	23.0	38.0	100.0	 2
3.225167709250092	39.0	22.0	39.0	100.0	 2
3.232076656057684	38.0	23.0	39.0	100.0	 1
3.234205569710447	37.0	24.0	39.0	100.0	 1
3.23643570402075	37.0	23.0	40.0	100.0	 2
3.244811997845853	36.0	24.0	40.0	100.0	 1
3.260115860280471	37.0	24.0	39.0	100.0	 3
3.276079739418378	38.0	24.0	38.0	100.0	 3
3.282136176342995	37.0	25.0	38.0	100.0	 1
3.2844415162627616	37.0	24.0	39.0	100.0	 2
3.2901084295751915	36.0	25.0	39.0	100.0	 1
3.295056320546225	37.0	25.0	38.0	100.0	 3
3.305170694534536	38.0	25.0	37.0	100.0	 3
3.3121497618546076	38.0	24.0	38.0	100.0	 2
3.325471275941462	37.0	25.0	38.0	100.0	 1
3.3357231097461777	37.0	24.0	39.0	100.0	 2
3.338847061813471	37.0	23.0	40.0	100.0	 2
3.368693586888842	36.0	24.0	40.0	100.0	 1
3.3733210247046155	36.0	23.0	41.0	100.0	 2
3.427285624905197	37.0	23.0	40.0	100.0	 3
3.4613770354796056	36.0	24.0	40.0	100.0	 1
3.4629809218882825	35.0	25.0	40.0	100.0	 1
3.472022199856645	36.0	25.0	39.0	100.0	 3
3.50155247565295	36.0	24.0	40.0	100.0	 2
3.5175656261658865	36.0	23.0	41.0	100.0	 2
3.5313985568274444	35.0	24.0	41.0	100.0	 1
3.532654068088176	34.0	25.0	41.0	100.0	 1
3.5378545876956204	33.0	26.0	41.0	100.0	 1
3.5460485560719404	33.0	25.0	42.0	100.0	 2
3.565767463668652	32.0	26.0	42.0	100.0	 1
3.6173488371337252	31.0	27.0	42.0	100.0	 1
3.6260568573070713	32.0	27.0	41.0	100.0	 3
3.6283263323521915	33.0	27.0	40.0	100.0	 3
3.629220786627245	33.0	26.0	41.0	100.0	 2
3.6355704388200887	32.0	27.0	41.0	100.0	 1
3.6842241417883126	33.0	27.0	40.0	100.0	 3
3.70057188079194	33.0	26.0	41.0	100.0	 2
3.702989803113236	34.0	26.0	40.0	100.0	 3
3.713476984704597	33.0	27.0	40.0	100.0	 1
3.7281672066717655	32.0	28.0	40.0	100.0	 1
3.7646222074902966	33.0	28.0	39.0	100.0	 3
3.795294681713716	34.0	28.0	38.0	100.0	 3
3.8142125509095326	34.0	27.0	39.0	100.0	 2
3.8145825581295347	34.0	26.0	40.0	100.0	 2
3.817659584346993	33.0	27.0	40.0	100.0	 1
3.822675340670251	34.0	27.0	39.0	100.0	 3
3.8317581253584603	34.0	26.0	40.0	100.0	 2
3.835336316118318	33.0	27.0	40.0	100.0	 1
3.867785277892707	32.0	28.0	40.0	100.0	 1
3.876556500489343	32.0	27.0	41.0	100.0	 2
3.8806288608953166	33.0	27.0	40.0	100.0	 3
3.8832716167646475	32.0	28.0	40.0	100.0	 1
3.9042557545850367	32.0	27.0	41.0	100.0	 2
3.9156420129419005	31.0	28.0	41.0	100.0	 1
3.9474654019643376	31.0	27.0	42.0	100.0	 2
3.9588132248927828	32.0	27.0	41.0	100.0	 3
3.967208068000398	32.0	26.0	42.0	100.0	 2
3.986173263204725	31.0	27.0	42.0	100.0	 1
3.988465837818116	31.0	26.0	43.0	100.0	 2
4.007223768389983	31.0	25.0	44.0	100.0	 2
4.016356480291006	31.0	24.0	45.0	100.0	 2
4.016548609642111	32.0	24.0	44.0	100.0	 3
4.019964718976804	31.0	25.0	44.0	100.0	 1
4.0514925011547085	31.0	24.0	45.0	100.0	 2
4.067048000473471	32.0	24.0	44.0	100.0	 3
4.079500608100158	31.0	25.0	44.0	100.0	 1
4.082352911649747	30.0	26.0	44.0	100.0	 1
4.08846932130549	30.0	25.0	45.0	100.0	 2
4.089464676903185	31.0	25.0	44.0	100.0	 3
4.099792649858096	30.0	26.0	44.0	100.0	 1
4.102779625266763	29.0	27.0	44.0	100.0	 1
4.117155640569086	30.0	27.0	43.0	100.0	 3
4.143363797267301	31.0	27.0	42.0	100.0	 3
4.149259951753169	31.0	26.0	43.0	100.0	 2
4.166303486392872	32.0	26.0	42.0	100.0	 3
4.17326467891515	32.0	25.0	43.0	100.0	 2
4.195163570287314	32.0	24.0	44.0	100.0	 2
4.2062014360850295	31.0	25.0	44.0	100.0	 1
4.212050245562314	31.0	24.0	45.0	100.0	 2
4.234652850057172	32.0	24.0	44.0	100.0	 3
4.246645677443866	33.0	24.0	43.0	100.0	 3
4.247662521512175	33.0	23.0	44.0	100.0	 2
4.265457034754575	34.0	23.0	43.0	100.0	 3
4.2666341362296105	33.0	24.0	43.0	100.0	 1
4.274823509574344	34.0	24.0	42.0	100.0	 3
4.2764794753804445	33.0	25.0	42.0	100.0	 1
4.306968436454342	32.0	26.0	42.0	100.0	 1
4.320403184389843	32.0	25.0	43.0	100.0	 2
4.344728380843518	32.0	24.0	44.0	100.0	 2
4.378636065143552	33.0	24.0	43.0	100.0	 3
4.407121392078349	34.0	24.0	42.0	100.0	 3
4.413151366054413	35.0	24.0	41.0	100.0	 3
4.427544200004293	35.0	23.0	42.0	100.0	 2
4.431372137126279	36.0	23.0	41.0	100.0	 3
4.447748071212377	35.0	24.0	41.0	100.0	 1
4.457212825598975	34.0	25.0	41.0	100.0	 1
4.4604520918267	34.0	24.0	42.0	100.0	 2
4.473346900933695	34.0	23.0	43.0	100.0	 2
4.47557559282712	35.0	23.0	42.0	100.0	 3
4.504342654639799	36.0	23.0	41.0	100.0	 3
4.506152939769276	35.0	24.0	41.0	100.0	 1
4.528163739998392	35.0	23.0	42.0	100.0	 2
4.545185411396973	35.0	22.0	43.0	100.0	 2
4.549303645714511	34.0	23.0	43.0	100.0	 1
4.549688375843129	35.0	23.0	42.0	100.0	 3
4.563324151826218	36.0	23.0	41.0	100.0	 3
4.576102128847131	36.0	22.0	42.0	100.0	 2
4.583576423591969	37.0	22.0	41.0	100.0	 3
4.586166943229467	36.0	23.0	41.0	100.0	 1
4.593321333911051	36.0	22.0	42.0	100.0	 2
4.596889229126828	35.0	23.0	42.0	100.0	 1
4.6015506401616415	34.0	24.0	42.0	100.0	 1
4.6041624487225885	33.0	25.0	42.0	100.0	 1
4.61133856294646	32.0	26.0	42.0	100.0	 1
4.613217807876209	32.0	25.0	43.0	100.0	 2
4.617692301311852	32.0	24.0	44.0	100.0	 2
4.6196038037694205	32.0	23.0	45.0	100.0	 2
4.626278417466379	31.0	24.0	45.0	100.0	 1
4.631251991940977	32.0	24.0	44.0	100.0	 3
4.6529976600176015	33.0	24.0	43.0	100.0	 3
4.674665015810018	33.0	23.0	44.0	100.0	 2
